S0118907,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0118908,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
S0118911,카페/디저트,4136025328,경기도,남양주시,진접읍,금곡리,4136025300,진접읍,413603197065,해밀예당1로
S0118912,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343277,오목로18번길
S0118913,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343277,오목로18번길
S0118916,분식,4817010800,경상남도,진주시,인사동,\N,4817055500,성북동,481704796644,북장대로6번길
S0118918,야식,4719010100,경상북도,구미시,원평동,\N,4719053500,원평동,471904724066,구미중앙로17길
S0118919,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,\N,\N
S0118923,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
S0118924,중식,1138010400,서울특별시,은평구,갈현동,\N,1138055200,갈현2동,113804133147,연서로17길
S0118926,찜탕,4146125023,경기도,용인시 처인구,포곡읍,둔전리,4146125000,포곡읍,414613203129,포곡로
S0118927,중식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181050,충의로
S0118928,중식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411503181050,충의로
S0118929,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181062,태평로
S0118933,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118936,돈까스/일식,4723010300,경상북도,영천시,야사동,\N,4723051000,동부동,472303307052,충효로
S0118942,배달전문업체,3171025622,울산광역시,울주군,온양읍,대안리,3171025600,온양읍,317104319568,솔밭1길
S0118959,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181035,용민로
S0118960,카페/디저트,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411503181048,체육로
S0118966,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181010,둔야로
S0118967,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181010,둔야로
S0118968,치킨,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181010,둔야로
S0118969,돈까스/일식,4715010400,경상북도,김천시,성내동,\N,4715051600,자산동,471503306030,자산로
S0118971,치킨,4115011300,경기도,의정부시,산곡동,\N,4115057300,송산1동,\N,\N
S0118972,한식,1154510300,서울특별시,금천구,시흥동,\N,1154567000,시흥1동,115453000024,금하로
S0118973,한식,1154510300,서울특별시,금천구,시흥동,\N,1154567000,시흥1동,115453000024,금하로
S0118976,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0118977,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0118978,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0118979,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0118980,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0118981,분식,4817010800,경상남도,진주시,인사동,\N,4817055500,성북동,481704796644,북장대로6번길
S0118982,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343114,둔야로17번길
S0118990,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118991,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
S0118992,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343252,신흥로231번길
S0118993,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
S0118994,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
S0118995,돈까스/일식,1153010200,서울특별시,구로구,구로동,\N,1153055000,구로4동,115304148204,구로동로18길
S0118997,돈까스/일식,1153010300,서울특별시,구로구,가리봉동,\N,1153059500,가리봉동,115302000003,남부순환로
S0119003,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
S0119004,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
S0119005,족발/보쌈,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
S0119007,찜탕,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343342,청사로47번길
S0119008,돈까스/일식,4723010300,경상북도,영천시,야사동,\N,4723051000,동부동,472303307052,충효로
S0119009,한식,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190003,각골로
S0119011,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
S0119012,찜탕,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343342,청사로47번길
S0119014,치킨,3171025622,울산광역시,울주군,온양읍,대안리,3171025600,온양읍,317104319397,보곡1길
S0119016,야식,4115010300,경기도,의정부시,장암동,\N,4115056100,장암동,411503181055,회룡로
S0119017,심부름,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503000136,호국로
S0119018,심부름,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503000136,호국로
S0119020,치킨,4719011200,경상북도,구미시,비산동,\N,4719061000,비산동,471904724370,비산로1안길
S0119021,돈까스/일식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343254,신흥로239번길
S0119022,돈까스/일식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343254,신흥로239번길
S0119023,돈까스/일식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343254,신흥로239번길
S0119034,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0119035,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0119036,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0119037,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0119038,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0119039,피자,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
S0119044,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181056,효자로
S0119045,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181056,효자로
S0119046,야식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343275,오목로14번길
S0119047,돈까스/일식,2823710700,인천광역시,부평구,부개동,\N,2823766000,부개2동,282373154027,부평문화로
S0119048,돈까스/일식,2823710700,인천광역시,부평구,부개동,\N,2823766000,부개2동,282373154027,부평문화로
S0119052,한식,4421010200,충청남도,서산시,동문동,\N,4421053500,동문2동,442103254127,율지3로
S0119054,도시락,1153010200,서울특별시,구로구,구로동,\N,1153054000,구로3동,115304148335,디지털로31길
S0119056,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
S0119057,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343459,호국로1298번길
S0119058,돈까스/일식,4127110400,경기도,안산시 상록구,본오동,\N,4127154000,본오1동,412713190040,석호로
S0119061,치킨,4159025632,경기도,화성시,우정읍,조암리,4159025600,우정읍,415903210149,장안로
S0119064,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
S0119065,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
S0119066,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
S0119067,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
S0119068,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411504343489,회룡로137번길
S0119070,한식,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181034,외미로
S0119071,카페/디저트,2629010700,부산광역시,남구,용호동,\N,2629059000,용호3동,262903131025,용호로
S0119073,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343282,용민로122번길
S0119075,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000136,호국로
S0119076,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000136,호국로
S0119077,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000136,호국로
S0119078,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000136,호국로
S0119079,돈까스/일식,4715010500,경상북도,김천시,평화동,\N,4715053600,평화남산동,471504718874,평화7길
S0119084,분식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0119085,분식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0119086,분식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0119087,분식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0119088,분식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
S0119098,돈까스/일식,2644010400,부산광역시,강서구,명지동,\N,2644054500,명지2동,264403136048,명지오션시티7로
S0119103,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0119104,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0119105,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0119106,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0119107,한식,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343516,발곡로23번길
S0119110,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
